"Tue, Oct 30, 2001",7:00 pm,Boston Celtics,108,Cleveland Cavaliers,89,Box Score,,
"Tue, Oct 30, 2001",7:30 pm,Detroit Pistons,87,Dallas Mavericks,94,Box Score,,
"Tue, Oct 30, 2001",7:30 pm,Atlanta Hawks,84,Houston Rockets,89,Box Score,OT,
"Tue, Oct 30, 2001",7:30 pm,Portland Trail Blazers,87,Los Angeles Lakers,98,Box Score,,
"Tue, Oct 30, 2001",7:00 pm,Philadelphia 76ers,74,Minnesota Timberwolves,83,Box Score,,
"Tue, Oct 30, 2001",7:30 pm,Indiana Pacers,97,New Jersey Nets,103,Box Score,,
"Tue, Oct 30, 2001",7:30 pm,Washington Wizards,91,New York Knicks,93,Box Score,,
"Tue, Oct 30, 2001",7:30 pm,Toronto Raptors,85,Orlando Magic,114,Box Score,,
"Tue, Oct 30, 2001",7:00 pm,Denver Nuggets,99,Phoenix Suns,96,Box Score,,
"Tue, Oct 30, 2001",7:00 pm,Seattle SuperSonics,95,Sacramento Kings,101,Box Score,,
"Tue, Oct 30, 2001",7:30 pm,Los Angeles Clippers,98,San Antonio Spurs,109,Box Score,,
"Tue, Oct 30, 2001",7:00 pm,Milwaukee Bucks,119,Utah Jazz,112,Box Score,OT,
"Wed, Oct 31, 2001",7:00 pm,New Jersey Nets,95,Boston Celtics,92,Box Score,,
"Wed, Oct 31, 2001",7:00 pm,Cleveland Cavaliers,94,Charlotte Hornets,100,Box Score,,
"Wed, Oct 31, 2001",7:30 pm,Indiana Pacers,98,Chicago Bulls,73,Box Score,,
"Wed, Oct 31, 2001",8:00 pm,Toronto Raptors,92,Miami Heat,97,Box Score,,
"Wed, Oct 31, 2001",7:00 pm,Golden State Warriors,87,Portland Trail Blazers,92,Box Score,,
"Thu, Nov 1, 2001",8:00 pm,Washington Wizards,98,Atlanta Hawks,88,Box Score,,
"Thu, Nov 1, 2001",7:00 pm,Milwaukee Bucks,102,Denver Nuggets,101,Box Score,,
"Thu, Nov 1, 2001",7:30 pm,Phoenix Suns,107,Golden State Warriors,101,Box Score,,
"Thu, Nov 1, 2001",7:30 pm,Los Angeles Clippers,92,Houston Rockets,98,Box Score,OT,
"Thu, Nov 1, 2001",7:00 pm,Detroit Pistons,90,Memphis Grizzlies,80,Box Score,,
"Thu, Nov 1, 2001",7:00 pm,Dallas Mavericks,99,Philadelphia 76ers,92,Box Score,,
"Thu, Nov 1, 2001",7:00 pm,San Antonio Spurs,108,Seattle SuperSonics,114,Box Score,,
"Thu, Nov 1, 2001",7:00 pm,Los Angeles Lakers,105,Utah Jazz,101,Box Score,,
"Fri, Nov 2, 2001",7:30 pm,Chicago Bulls,82,Boston Celtics,96,Box Score,,
"Fri, Nov 2, 2001",7:30 pm,New York Knicks,93,Charlotte Hornets,97,Box Score,,
"Fri, Nov 2, 2001",8:00 pm,New Jersey Nets,88,Detroit Pistons,102,Box Score,,
"Fri, Nov 2, 2001",7:00 pm,Orlando Magic,107,Indiana Pacers,117,Box Score,,
"Fri, Nov 2, 2001",7:30 pm,Phoenix Suns,94,Los Angeles Lakers,117,Box Score,,
"Fri, Nov 2, 2001",7:30 pm,Cleveland Cavaliers,90,Miami Heat,83,Box Score,,
"Fri, Nov 2, 2001",7:00 pm,Memphis Grizzlies,102,Minnesota Timberwolves,111,Box Score,,
"Fri, Nov 2, 2001",7:00 pm,Dallas Mavericks,92,Toronto Raptors,109,Box Score,,
"Sat, Nov 3, 2001",7:00 pm,Miami Heat,83,Atlanta Hawks,90,Box Score,,
"Sat, Nov 3, 2001",7:30 pm,New York Knicks,79,Chicago Bulls,84,Box Score,,
"Sat, Nov 3, 2001",8:30 pm,Orlando Magic,99,Cleveland Cavaliers,69,Box Score,,
"Sat, Nov 3, 2001",7:00 pm,Sacramento Kings,106,Denver Nuggets,94,Box Score,,
"Sat, Nov 3, 2001",7:30 pm,Minnesota Timberwolves,90,Houston Rockets,88,Box Score,,
"Sat, Nov 3, 2001",7:30 pm,Golden State Warriors,110,Los Angeles Clippers,108,Box Score,OT,
"Sat, Nov 3, 2001",7:30 pm,Boston Celtics,99,Milwaukee Bucks,105,Box Score,,
"Sat, Nov 3, 2001",8:00 pm,Charlotte Hornets,85,New Jersey Nets,95,Box Score,,
"Sat, Nov 3, 2001",7:00 pm,San Antonio Spurs,106,Portland Trail Blazers,90,Box Score,,
"Sat, Nov 3, 2001",6:00 pm,Utah Jazz,91,Seattle SuperSonics,74,Box Score,,
