"Tue, Oct 29, 2002",7:30 pm,San Antonio Spurs,87,Los Angeles Lakers,82,Box Score,,
"Tue, Oct 29, 2002",7:30 pm,Philadelphia 76ers,88,Orlando Magic,95,Box Score,,
"Tue, Oct 29, 2002",7:00 pm,Cleveland Cavaliers,67,Sacramento Kings,94,Box Score,,
"Wed, Oct 30, 2002",7:00 pm,Chicago Bulls,99,Boston Celtics,96,Box Score,,
"Wed, Oct 30, 2002",8:00 pm,New York Knicks,77,Detroit Pistons,86,Box Score,,
"Wed, Oct 30, 2002",7:30 pm,San Antonio Spurs,98,Golden State Warriors,106,Box Score,,
"Wed, Oct 30, 2002",7:00 pm,Houston Rockets,82,Indiana Pacers,91,Box Score,,
"Wed, Oct 30, 2002",7:30 pm,Cleveland Cavaliers,98,Los Angeles Clippers,96,Box Score,,
"Wed, Oct 30, 2002",7:00 pm,Dallas Mavericks,119,Memphis Grizzlies,108,Box Score,,
"Wed, Oct 30, 2002",7:30 pm,Orlando Magic,100,Miami Heat,86,Box Score,,
"Wed, Oct 30, 2002",7:00 pm,Denver Nuggets,77,Minnesota Timberwolves,83,Box Score,,
"Wed, Oct 30, 2002",7:30 pm,Atlanta Hawks,94,New Jersey Nets,105,Box Score,,
"Wed, Oct 30, 2002",7:30 pm,Utah Jazz,75,New Orleans Hornets,100,Box Score,,
"Wed, Oct 30, 2002",7:00 pm,Milwaukee Bucks,93,Philadelphia 76ers,95,Box Score,,
"Wed, Oct 30, 2002",6:30 pm,Los Angeles Lakers,90,Portland Trail Blazers,102,Box Score,,
"Wed, Oct 30, 2002",7:00 pm,Phoenix Suns,73,Seattle SuperSonics,86,Box Score,,
"Wed, Oct 30, 2002",7:00 pm,Washington Wizards,68,Toronto Raptors,74,Box Score,,
"Thu, Oct 31, 2002",7:30 pm,Utah Jazz,98,Atlanta Hawks,105,Box Score,,
"Thu, Oct 31, 2002",7:00 pm,Portland Trail Blazers,72,Sacramento Kings,100,Box Score,,
"Thu, Oct 31, 2002",7:30 pm,Boston Celtics,69,Washington Wizards,114,Box Score,,
"Fri, Nov 1, 2002",7:30 pm,New Orleans Hornets,79,Chicago Bulls,84,Box Score,,
"Fri, Nov 1, 2002",7:00 pm,Houston Rockets,83,Denver Nuggets,74,Box Score,,
"Fri, Nov 1, 2002",8:00 pm,Memphis Grizzlies,86,Detroit Pistons,109,Box Score,,
"Fri, Nov 1, 2002",7:30 pm,Seattle SuperSonics,106,Golden State Warriors,93,Box Score,,
"Fri, Nov 1, 2002",7:30 pm,Los Angeles Lakers,108,Los Angeles Clippers,93,Box Score,,
"Fri, Nov 1, 2002",7:00 pm,Orlando Magic,105,Minnesota Timberwolves,111,Box Score,,
"Fri, Nov 1, 2002",7:30 pm,Indiana Pacers,91,New Jersey Nets,102,Box Score,,
"Fri, Nov 1, 2002",8:00 pm,New York Knicks,86,Philadelphia 76ers,98,Box Score,,
"Fri, Nov 1, 2002",7:00 pm,Cleveland Cavaliers,74,Phoenix Suns,78,Box Score,,
"Fri, Nov 1, 2002",7:30 pm,Toronto Raptors,72,San Antonio Spurs,91,Box Score,,
"Sat, Nov 2, 2002",7:00 pm,Chicago Bulls,92,Atlanta Hawks,98,Box Score,,
"Sat, Nov 2, 2002",7:30 pm,Phoenix Suns,83,Dallas Mavericks,97,Box Score,,
"Sat, Nov 2, 2002",7:30 pm,Toronto Raptors,76,Houston Rockets,88,Box Score,,
"Sat, Nov 2, 2002",7:00 pm,Minnesota Timberwolves,80,Indiana Pacers,87,Box Score,,
"Sat, Nov 2, 2002",7:00 pm,Sacramento Kings,116,Memphis Grizzlies,99,Box Score,,
"Sat, Nov 2, 2002",7:30 pm,Orlando Magic,100,Milwaukee Bucks,90,Box Score,,
"Sat, Nov 2, 2002",7:30 pm,Miami Heat,95,New Orleans Hornets,100,Box Score,,
"Sat, Nov 2, 2002",7:30 pm,Boston Celtics,117,New York Knicks,107,Box Score,,
"Sat, Nov 2, 2002",7:00 pm,Denver Nuggets,96,Portland Trail Blazers,79,Box Score,,
"Sat, Nov 2, 2002",7:00 pm,Golden State Warriors,92,Utah Jazz,101,Box Score,,
